name,county,county_code
Curaturi,Alba,AB
Vama Seaca,Alba,AB
Cobles,Alba,AB
Almasu de Mijloc,Alba,AB
Parau Gruiului,Alba,AB
Copand,Alba,AB
Geogel,Alba,AB
Asinip,Alba,AB
Vale In Jos,Alba,AB
Carpen,Alba,AB
Nadastia,Alba,AB
Glogovet,Alba,AB
Sohodol,Alba,AB
Necsesti,Alba,AB
Cretesti,Alba,AB
Strungari,Alba,AB
Stiuleti,Alba,AB
Valea Sesii,Alba,AB
Silivas,Alba,AB
Stana de Mures,Alba,AB
Mesentea,Alba,AB
Necrilesti,Alba,AB
Fata Cristesei,Alba,AB
Barasti,Alba,AB
Pitiga,Alba,AB
Bucium-Sat,Alba,AB
Fericet,Alba,AB
Galbena,Alba,AB
Runc,Alba,AB
Gura Sohodol,Alba,AB
Costesti,Alba,AB
Mereteu,Alba,AB
Lipaia,Alba,AB
Vartop,Alba,AB
Moraresti,Alba,AB
Bradeana,Alba,AB
Runc,Alba,AB
Vadu Motilor,Alba,AB
Sub Piatra,Alba,AB
Patrusesti,Alba,AB
Poiana Vadului,Alba,AB
Valea Larga,Alba,AB
Varsi,Alba,AB
Lunca Ampoitei,Alba,AB
Mihoesti,Alba,AB
Valea Morii,Alba,AB
Negesti,Alba,AB
Poienile-Mogos,Alba,AB
Pastesti,Alba,AB
Floresti,Alba,AB
Matisesti,Alba,AB
Dealu Bajului,Alba,AB
Avram Iancu,Alba,AB
Fagetu de Sus,Alba,AB
Dupa Plese,Alba,AB
Lazuri,Alba,AB
Poiana Galdei,Alba,AB
Tarina,Alba,AB
Suseni,Alba,AB
Vai,Alba,AB
Stanesti,Alba,AB
Boncesti,Alba,AB
Pagida,Alba,AB
Garbovita,Alba,AB
Pirita,Alba,AB
Bodesti,Alba,AB
Orasti,Alba,AB
Poduri-Bricesti,Alba,AB
Fata Abrudului,Alba,AB
Vidolm,Alba,AB
Modolesti,Alba,AB
Inuri,Alba,AB
Popestii de Sus,Alba,AB
Botesti,Alba,AB
Mogos,Alba,AB
Ponor,Alba,AB
Valea Manastirii,Alba,AB
Boglesti,Alba,AB
Dric,Alba,AB
Lunca Merilor,Alba,AB
Trisoresti,Alba,AB
Mugesti,Alba,AB
Poduri,Alba,AB
